City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tasiilaq,GL,30.97,overcast clouds,65.6145,-37.6368,The Red House
15,Jiuquan,CN,31.77,scattered clouds,39.7432,98.5174,Jiuquan Hotel
22,Hofn,IS,39.22,broken clouds,64.2539,-15.2082,Hótel Höfn
30,Sheridan,US,33.31,clear sky,44.8333,-106.9173,Comfort Inn & Suites
44,Ayagoz,KZ,26.91,overcast clouds,47.9714,80.4392,Gostinitsa Nur
82,Valleyview,CA,21.18,broken clouds,55.0667,-117.2859,Paradise Inn & Suites
90,Moose Factory,CA,29.97,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
97,Bonavista,CA,34.63,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
110,Longyearbyen,SJ,22.84,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
111,Hohhot,CN,35.56,overcast clouds,40.8106,111.6522,Sheraton Hohhot Hotel
118,Mikhaylovka,RU,38.7,few clouds,50.06,43.2379,5 Komnat
119,Yellowknife,CA,21.56,overcast clouds,62.456,-114.3525,The Explorer Hotel
123,Sitka,US,39.09,broken clouds,57.0531,-135.33,Westmark Sitka
134,Kondinskoye,RU,32.41,light snow,59.6481,67.41,Gostinitsa
147,Severo-Kurilsk,RU,34.39,overcast clouds,50.6789,156.125,Kak Doma
152,Salym,RU,30.24,overcast clouds,60.0625,71.4789,Gostinitsa Salym
175,Hami,CN,33.82,clear sky,42.8,93.45,Laoyutang Resort
179,Okha,RU,24.15,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
182,Rize,TR,34.97,broken clouds,40.9044,40.8949,Zilkale Otel
185,Dobryanka,RU,38.98,overcast clouds,58.4619,56.4165,Apartment on Zhukovskogo 19
186,Balykshi,KZ,30.2,fog,47.0667,51.8667,Гостиница Golden Rose
200,Changji,CN,36.39,broken clouds,44.0167,87.3167,Lvye Holiday Resort
212,Palana,RU,26.24,light snow,59.1167,159.9667,Chikago
219,El Reno,US,36.61,broken clouds,35.5323,-97.955,Home2 Suites by Hilton El Reno
226,Nuuk,GL,20.88,overcast clouds,64.1835,-51.7216,Vandrehuset
227,Ust-Kut,RU,23.88,overcast clouds,56.7938,105.7672,Otel Flagman
230,Douglas,US,29.86,scattered clouds,41.3,-96.167,Hilton Garden Inn Omaha West
233,Sheboygan,US,37.72,few clouds,43.7333,-87.9334,Baymont by Wyndham Plymouth
243,Petropavlovsk-Kamchatskiy,RU,21.6,overcast clouds,53.0452,158.6483,The Hotel Petropavlovsky
250,Prince Rupert,CA,39.99,overcast clouds,54.3161,-130.3201,Crest Hotel
260,Bayan,CN,35.44,overcast clouds,46.0833,127.4,Wanhao Inn
261,Polyarnyye Zori,RU,28.85,overcast clouds,67.3661,32.4981,Khostiel
263,Klyuchi,RU,30.61,light snow,52.2667,79.1667,Vesolaya Mayovka
275,Krutinka,RU,32.0,light snow,56.0055,71.5113,Motel Uyut
278,Kyshtovka,RU,28.18,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
321,Kemijarvi,FI,34.61,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
323,Saint Anthony,US,30.88,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
331,Chitral,PK,35.56,clear sky,35.8462,71.7858,PTDC Motel Chitral
333,Kyzyl-Suu,KG,25.7,broken clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
347,Chupa,RU,37.9,light rain,66.27,33.0549,Hostel on Pionerskaya 88
349,Osoyoos,CA,25.21,overcast clouds,49.0331,-119.4524,Watermark Beach Resort
356,Berezovyy,RU,23.92,overcast clouds,51.6667,135.7,"Hotel ""Phoenix"""
359,Ketchikan,US,36.68,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
366,Fort Morgan,US,29.62,clear sky,40.2503,-103.8,Hampton Inn Fort Morgan
379,Powell River,CA,39.47,mist,49.8496,-124.5361,Rodmay Hotel
