City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,30.97,68,100,22.37,overcast clouds
1,Lastoursville,GA,-0.8143,12.7287,73.45,92,68,0.47,light rain
2,Luderitz,NA,-26.6481,15.1594,59.79,82,0,11.97,clear sky
3,Aykhal,RU,66.0,111.5,0.68,97,100,12.93,light snow
4,Hilo,US,19.7297,-155.09,74.12,79,1,1.99,clear sky
5,Vaini,TO,-21.2,-175.2,77.16,100,40,6.91,light intensity drizzle
6,Shimoda,JP,34.6667,138.95,62.37,83,14,10.87,few clouds
7,Victoria,HK,22.2855,114.1577,76.32,86,0,8.99,clear sky
8,Saskylakh,RU,71.9167,114.0833,-30.33,100,66,1.81,broken clouds
9,Cape Town,ZA,-33.9258,18.4232,68.41,66,0,6.91,clear sky
10,Severodvinsk,RU,64.5635,39.8302,41.11,96,100,16.15,light rain
11,Port Alfred,ZA,-33.5906,26.891,69.19,94,94,5.01,overcast clouds
12,Busselton,AU,-33.65,115.3333,53.44,64,68,6.24,broken clouds
13,Kapaa,US,22.0752,-159.319,74.1,69,53,1.99,broken clouds
14,Ushuaia,AR,-54.8,-68.3,51.46,54,40,18.41,scattered clouds
15,Jiuquan,CN,39.7432,98.5174,31.77,54,33,1.14,scattered clouds
16,Tiksi,RU,71.6872,128.8694,-8.81,99,100,4.68,overcast clouds
17,Hobart,AU,-42.8794,147.3294,51.66,83,75,16.11,broken clouds
18,Bluff,NZ,-46.6,168.3333,54.0,82,100,6.51,light rain
19,Georgetown,MY,5.4112,100.3354,77.95,96,40,3.44,scattered clouds
20,Albany,US,42.6001,-73.9662,66.24,76,96,8.99,overcast clouds
21,Callaway,US,30.153,-85.5699,76.98,79,100,18.41,overcast clouds
22,Hofn,IS,64.2539,-15.2082,39.22,81,75,5.75,broken clouds
23,Hermanus,ZA,-34.4187,19.2345,66.79,79,20,1.14,few clouds
24,Atuona,PF,-9.8,-139.0333,77.07,81,22,14.54,few clouds
25,Rikitea,PF,-23.1203,-134.9692,73.76,86,73,8.95,broken clouds
26,Ulladulla,AU,-35.35,150.4667,60.71,91,84,5.91,broken clouds
27,Saldanha,ZA,-33.0117,17.9442,68.05,86,2,6.98,clear sky
28,Piltene,LV,57.2243,21.6744,55.35,94,100,19.57,overcast clouds
29,New Norfolk,AU,-42.7826,147.0587,51.3,72,98,1.01,overcast clouds
30,Sheridan,US,44.8333,-106.9173,33.31,66,4,2.82,clear sky
31,Hithadhoo,MV,-0.6,73.0833,80.55,80,44,12.86,light rain
32,Qiongshan,CN,20.0058,110.3542,69.78,100,23,2.24,fog
33,El Real De Santa Maria,PA,8.109,-77.7325,84.72,78,47,4.12,moderate rain
34,Hernani,ES,43.2662,-1.9762,64.85,69,0,1.99,clear sky
35,Carnarvon,AU,-24.8667,113.6333,63.84,61,0,25.17,clear sky
36,San Quintin,MX,30.4833,-115.95,64.31,41,100,5.08,overcast clouds
37,Dingle,PH,10.9995,122.6711,76.15,94,94,7.02,overcast clouds
38,Namatanai,PG,-3.6667,152.4333,77.85,81,100,2.8,overcast clouds
39,Emerald,AU,-23.5333,148.1667,63.34,80,21,11.36,few clouds
40,Viedma,AR,-40.8135,-62.9967,72.86,37,98,8.03,moderate rain
41,Avarua,CK,-21.2078,-159.775,73.45,78,20,12.66,few clouds
42,Torbay,CA,47.6666,-52.7314,45.75,80,100,1.99,overcast clouds
43,Den Helder,NL,52.9599,4.7593,53.58,93,100,11.99,overcast clouds
44,Ayagoz,KZ,47.9714,80.4392,26.91,91,100,5.57,overcast clouds
45,Krasnoselkup,RU,65.7,82.4667,-2.45,91,100,8.97,overcast clouds
46,Bethel,US,41.3712,-73.414,66.29,84,100,4.61,moderate rain
47,Lumphat,KH,13.4878,106.9816,72.19,82,86,5.61,overcast clouds
48,Arraial Do Cabo,BR,-22.9661,-42.0278,75.04,84,11,10.83,few clouds
49,Hambantota,LK,6.1241,81.1185,78.8,81,92,11.56,overcast clouds
50,Castro,BR,-24.7911,-50.0119,59.61,93,100,0.2,light rain
51,Mataura,NZ,-46.1927,168.8643,49.44,86,100,1.12,light rain
52,Bredasdorp,ZA,-34.5322,20.0403,65.79,86,35,8.39,scattered clouds
53,Port Elizabeth,ZA,-33.918,25.5701,68.09,96,75,5.01,broken clouds
54,Buraydah,SA,26.326,43.975,75.15,34,95,16.93,moderate rain
55,Baykit,RU,61.67,96.37,23.7,89,100,10.78,overcast clouds
56,Gasa,PS,31.5,34.4667,64.89,67,0,13.53,clear sky
57,Lompoc,US,34.6391,-120.4579,63.79,61,100,1.99,overcast clouds
58,Zhigansk,RU,66.7697,123.3711,-26.23,99,59,6.04,broken clouds
59,Tabuk,PH,17.4189,121.4443,73.99,90,4,1.79,clear sky
60,Mahebourg,MU,-20.4081,57.7,72.25,75,21,9.75,few clouds
61,Upernavik,GL,72.7868,-56.1549,10.87,86,100,4.27,overcast clouds
62,Rancharia,BR,-22.2292,-50.8931,75.6,61,84,17.69,broken clouds
63,Ribeira Grande,PT,38.5167,-28.7,63.0,63,20,12.66,few clouds
64,Bereda,ES,43.2686,-7.5406,51.15,96,0,0.4,clear sky
65,Butaritari,KI,3.0707,172.7902,81.12,75,100,17.18,overcast clouds
66,Port Lincoln,AU,-34.7333,135.8667,60.85,89,100,17.45,light rain
67,Bengkulu,ID,-3.8004,102.2655,74.68,92,100,3.78,overcast clouds
68,Bulgan,MN,48.8125,103.5347,17.15,60,6,2.95,clear sky
69,Joao Camara,BR,-5.5375,-35.8197,92.3,35,46,16.67,scattered clouds
70,East London,ZA,-33.0153,27.9116,68.76,90,100,23.58,moderate rain
71,Cap Malheureux,MU,-19.9842,57.6142,72.46,73,13,1.99,few clouds
72,Chuy,UY,-33.6971,-53.4616,74.16,58,40,11.68,scattered clouds
73,Iqaluit,CA,63.7506,-68.5145,6.53,78,100,4.61,light snow
74,Mar Del Plata,AR,-38.0023,-57.5575,73.83,88,98,8.99,overcast clouds
75,Porto Novo,BJ,6.4965,2.6036,79.88,79,100,6.53,light rain
76,Faanui,PF,-16.4833,-151.75,77.95,77,78,4.45,light rain
77,Punta Arenas,CL,-53.15,-70.9167,46.11,70,55,3.69,broken clouds
78,Jamestown,US,42.097,-79.2353,62.02,72,100,8.99,moderate rain
79,Kodiak,US,57.79,-152.4072,42.31,93,100,29.93,moderate rain
80,Basco,PH,20.4487,121.9702,80.6,84,17,13.53,few clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,76.96,81,92,8.99,overcast clouds
82,Valleyview,CA,55.0667,-117.2859,21.18,78,68,5.01,broken clouds
83,Amazar,RU,53.858,120.875,5.32,97,24,2.68,few clouds
84,Marsa Matruh,EG,31.3525,27.2453,67.57,58,8,9.98,clear sky
85,Haimen,CN,23.1935,116.6142,72.28,89,60,11.45,broken clouds
86,Adelaide,AU,-34.9333,138.6,68.16,70,98,12.66,light rain
87,Cherskiy,RU,68.75,161.3,-25.91,100,94,2.3,overcast clouds
88,Lebu,CL,-37.6167,-73.65,60.53,67,74,16.37,broken clouds
89,Souillac,MU,-20.5167,57.5167,73.18,77,25,8.16,scattered clouds
90,Moose Factory,CA,51.2585,-80.6094,29.97,65,100,15.52,overcast clouds
91,Brae,GB,60.3964,-1.353,52.0,92,100,19.51,light rain
92,Moa,CU,20.6569,-74.9403,84.06,72,18,6.73,few clouds
93,Blackwater,AU,-23.5833,148.8833,65.05,78,0,9.13,clear sky
94,Yantzaza,EC,-3.8278,-78.7594,77.95,81,98,2.95,moderate rain
95,Stokmarknes,NO,68.5646,14.9108,48.16,93,75,13.8,shower rain
96,Norden,DE,53.6,7.2,52.14,94,93,1.99,overcast clouds
97,Bonavista,CA,48.6499,-53.1147,34.63,84,100,14.2,overcast clouds
98,Puerto Madryn,AR,-42.7692,-65.0385,62.83,59,100,14.0,overcast clouds
99,Hamilton,US,39.1834,-84.5333,59.2,95,100,10.36,mist
100,Mount Gambier,AU,-37.8333,140.7667,50.54,93,67,7.52,broken clouds
101,Naze,JP,28.3667,129.4833,68.95,92,99,13.51,overcast clouds
102,Birjand,IR,32.8663,59.2211,58.59,40,100,2.39,overcast clouds
103,Ust-Maya,RU,60.4167,134.5333,9.64,97,100,3.42,light snow
104,Labrea,BR,-7.2586,-64.7981,86.68,66,99,2.33,overcast clouds
105,Barrow,US,71.2906,-156.7887,8.62,78,100,12.66,overcast clouds
106,Necochea,AR,-38.5473,-58.7368,67.19,56,71,15.39,broken clouds
107,Toccoa,US,34.5773,-83.3324,66.45,98,100,6.91,light rain
108,Sobolevo,RU,54.4299,31.8996,44.89,86,99,12.84,overcast clouds
109,Salalah,OM,17.0151,54.0924,82.49,65,0,5.75,clear sky
